question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
足月妊娠40周时的羊水量约为,800mL,"['300mL', '400mL', '1000mL']",300mL, 400mL, 1000mL,800mL,足月妊娠40周时的羊水量约为800mL吗？回答'是'或者'不是'即可。,足月妊娠40周时的羊水量约为什么？回答一句话即可。,请选择一个正确选项。足月妊娠40周时的羊水量约为：A 300mL ，B  400mL ，C  1000mL，D 800mL。只能选择一个选项，禁止解释。,请选择一个正确选项。足月妊娠40周时的羊水量约为：A 300mL ，B  400mL ，C 800mL。只能选择一个选项，禁止解释。,请选择一个正确选项。足月妊娠40周时的羊水量约为：A 300mL ，B 800mL。只能选择一个选项，禁止解释。
能够引起排卵后体温升高的激素是,孕激素,"['黄体生成素', '卵泡刺激素', '雌激素']",黄体生成素, 卵泡刺激素, 雌激素,孕激素,能够引起排卵后体温升高的激素是孕激素吗？回答'是'或者'不是'即可。,能够引起排卵后体温升高的激素是什么？回答一句话即可。,请选择一个正确选项。能够引起排卵后体温升高的激素是：A 黄体生成素 ，B  卵泡刺激素 ，C  雌激素，D 孕激素。只能选择一个选项，禁止解释。,请选择一个正确选项。能够引起排卵后体温升高的激素是：A 黄体生成素 ，B  卵泡刺激素 ，C 孕激素。只能选择一个选项，禁止解释。,请选择一个正确选项。能够引起排卵后体温升高的激素是：A 黄体生成素 ，B 孕激素。只能选择一个选项，禁止解释。
可以进行子宫内膜异位症临床分期的是,腹腔镜检查,"['彩色超声多普勒检查', '典型病史及妇科检查', '血清CA125测定']",彩色超声多普勒检查, 典型病史及妇科检查, 血清CA125测定,腹腔镜检查,可以进行子宫内膜异位症临床分期的是腹腔镜检查吗？回答'是'或者'不是'即可。,可以进行子宫内膜异位症临床分期的是什么？回答一句话即可。,请选择一个正确选项。可以进行子宫内膜异位症临床分期的是：A 彩色超声多普勒检查 ，B  典型病史及妇科检查 ，C  血清CA125测定，D 腹腔镜检查。只能选择一个选项，禁止解释。,请选择一个正确选项。可以进行子宫内膜异位症临床分期的是：A 彩色超声多普勒检查 ，B  典型病史及妇科检查 ，C 腹腔镜检查。只能选择一个选项，禁止解释。,请选择一个正确选项。可以进行子宫内膜异位症临床分期的是：A 彩色超声多普勒检查 ，B 腹腔镜检查。只能选择一个选项，禁止解释。
自出生到1周岁这段时间被称为,婴儿期,"['青春期', '幼儿期', '新生儿期']",青春期, 幼儿期, 新生儿期,婴儿期,婴儿期是指自出生到1周岁这段时间吗？回答'是'或者'不是'即可。,自出生到1周岁这段时间被称为什么？回答一句话即可。,请选择一个正确选项。自出生到1周岁这段时间被称为：A 青春期 ，B  幼儿期 ，C  新生儿期，D 婴儿期。只能选择一个选项，禁止解释。,请选择一个正确选项。自出生到1周岁这段时间被称为：A 青春期 ，B  幼儿期 ，C 婴儿期。只能选择一个选项，禁止解释。,请选择一个正确选项。自出生到1周岁这段时间被称为：A 青春期 ，B 婴儿期。只能选择一个选项，禁止解释。
了解子宫内膜周期性变化最可靠的诊断方法是,诊断性刮宫,"['基础体温测定', '血清雌激素测定', '尿雌二醇测定']",基础体温测定, 血清雌激素测定, 尿雌二醇测定,诊断性刮宫,了解子宫内膜周期性变化最可靠的诊断方法是诊断性刮宫吗？回答'是'或者'不是'即可。,了解子宫内膜周期性变化最可靠的诊断方法是什么？回答一句话即可。,请选择一个正确选项。了解子宫内膜周期性变化最可靠的诊断方法是：A 基础体温测定 ，B  血清雌激素测定 ，C  尿雌二醇测定，D 诊断性刮宫。只能选择一个选项，禁止解释。,请选择一个正确选项。了解子宫内膜周期性变化最可靠的诊断方法是：A 基础体温测定 ，B  血清雌激素测定 ，C 诊断性刮宫。只能选择一个选项，禁止解释。,请选择一个正确选项。了解子宫内膜周期性变化最可靠的诊断方法是：A 基础体温测定 ，B 诊断性刮宫。只能选择一个选项，禁止解释。
妊娠早期合并甲亢最有意义的指标是,FT3、FT4升高,"['多食，心率快', 'T3、T4升高', '消瘦']",多食，心率快, T3、T4升高, 消瘦,FT3、FT4升高,妊娠早期合并甲亢最有意义的指标是FT3、FT4升高吗？回答'是'或者'不是'即可。,妊娠早期合并甲亢最有意义的指标是什么？回答一句话即可。,请选择一个正确选项。妊娠早期合并甲亢最有意义的指标是：A 多食，心率快 ，B  T3、T4升高 ，C  消瘦，D FT3、FT4升高。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠早期合并甲亢最有意义的指标是：A 多食，心率快 ，B  T3、T4升高 ，C FT3、FT4升高。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠早期合并甲亢最有意义的指标是：A 多食，心率快 ，B FT3、FT4升高。只能选择一个选项，禁止解释。
促使早产儿动脉导管关闭的药物是,消炎痛,"['心痛定', '前列腺素E', '潘生丁']",心痛定, 前列腺素E, 潘生丁,消炎痛,促使早产儿动脉导管关闭的药物是消炎痛吗？回答'是'或者'不是'即可。,促使早产儿动脉导管关闭的药物是什么？回答一句话即可。,请选择一个正确选项。促使早产儿动脉导管关闭的药物是：A 心痛定 ，B  前列腺素E ，C  潘生丁，D 消炎痛。只能选择一个选项，禁止解释。,请选择一个正确选项。促使早产儿动脉导管关闭的药物是：A 心痛定 ，B  前列腺素E ，C 消炎痛。只能选择一个选项，禁止解释。,请选择一个正确选项。促使早产儿动脉导管关闭的药物是：A 心痛定 ，B 消炎痛。只能选择一个选项，禁止解释。
人类非淋菌性尿道炎的重要病原体是,溶脲脲原体,"['淋菌', '柯萨奇B组病毒', '汉坦病毒']",淋菌, 柯萨奇B组病毒, 汉坦病毒,溶脲脲原体,人类非淋菌性尿道炎的重要病原体是溶脲脲原体吗？回答'是'或者'不是'即可。,人类非淋菌性尿道炎的重要病原体是什么？回答一句话即可。,请选择一个正确选项。人类非淋菌性尿道炎的重要病原体是：A 淋菌 ，B  柯萨奇B组病毒 ，C  汉坦病毒，D 溶脲脲原体。只能选择一个选项，禁止解释。,请选择一个正确选项。人类非淋菌性尿道炎的重要病原体是：A 淋菌 ，B  柯萨奇B组病毒 ，C 溶脲脲原体。只能选择一个选项，禁止解释。,请选择一个正确选项。人类非淋菌性尿道炎的重要病原体是：A 淋菌 ，B 溶脲脲原体。只能选择一个选项，禁止解释。
胎儿能衔接入盆的关键径线是,入口前后径,"['入口横径', '坐骨结节间径', '中骨盆前后径']",入口横径, 坐骨结节间径, 中骨盆前后径,入口前后径,是的，胎儿能衔接入盆的关键径线是入口前后径。回答'是'或者'不是'即可。,胎儿能衔接入盆的关键径线是什么？回答一句话即可。,请选择一个正确选项。胎儿能衔接入盆的关键径线是：A 入口横径 ，B  坐骨结节间径 ，C  中骨盆前后径，D 入口前后径。只能选择一个选项，禁止解释。,请选择一个正确选项。胎儿能衔接入盆的关键径线是：A 入口横径 ，B  坐骨结节间径 ，C 入口前后径。只能选择一个选项，禁止解释。,请选择一个正确选项。胎儿能衔接入盆的关键径线是：A 入口横径 ，B 入口前后径。只能选择一个选项，禁止解释。
新生儿败血症，我国最常见的病原菌是,葡萄球菌,"['大肠杆菌', 'B群链球菌', '克雷白杆菌']",大肠杆菌, B群链球菌, 克雷白杆菌,葡萄球菌,新生儿败血症最常见的病原菌是葡萄球菌吗？回答'是'或者'不是'即可。,新生儿败血症，我国最常见的病原菌是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症，我国最常见的病原菌是：A 大肠杆菌 ，B  B群链球菌 ，C  克雷白杆菌，D 葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症，我国最常见的病原菌是：A 大肠杆菌 ，B  B群链球菌 ，C 葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症，我国最常见的病原菌是：A 大肠杆菌 ，B 葡萄球菌。只能选择一个选项，禁止解释。
婴儿每日每公斤体重需要水量为,150ml/kg,"['50ml/kg', '80ml/kg', '120ml/kg']",50ml/kg, 80ml/kg, 120ml/kg,150ml/kg,婴儿每日每公斤体重需要水量为150ml/kg吗？回答'是'或者'不是'即可。,婴儿每日每公斤体重需要水量为什么？回答一句话即可。,请选择一个正确选项。婴儿每日每公斤体重需要水量为：A 50ml/kg ，B  80ml/kg ，C  120ml/kg，D 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日每公斤体重需要水量为：A 50ml/kg ，B  80ml/kg ，C 150ml/kg。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿每日每公斤体重需要水量为：A 50ml/kg ，B 150ml/kg。只能选择一个选项，禁止解释。
可以反映妊娠期高血压疾病严重程度的辅助检查是,眼底检查,"['测定血细胞比容', '测定血谷丙转氨酶值', '全血黏度比值和血浆黏度比值']",测定血细胞比容, 测定血谷丙转氨酶值, 全血黏度比值和血浆黏度比值,眼底检查,可以反映妊娠期高血压疾病严重程度的辅助检查是眼底检查吗？回答'是'或者'不是'即可。,可以反映妊娠期高血压疾病严重程度的辅助检查是什么？回答一句话即可。,请选择一个正确选项。可以反映妊娠期高血压疾病严重程度的辅助检查是：A 测定血细胞比容 ，B  测定血谷丙转氨酶值 ，C  全血黏度比值和血浆黏度比值，D 眼底检查。只能选择一个选项，禁止解释。,请选择一个正确选项。可以反映妊娠期高血压疾病严重程度的辅助检查是：A 测定血细胞比容 ，B  测定血谷丙转氨酶值 ，C 眼底检查。只能选择一个选项，禁止解释。,请选择一个正确选项。可以反映妊娠期高血压疾病严重程度的辅助检查是：A 测定血细胞比容 ，B 眼底检查。只能选择一个选项，禁止解释。
重度妊娠高血压综合征治疗首选的药物是,硫酸镁,"['哌替啶', '甘露醇', '氯丙嗪']",哌替啶, 甘露醇, 氯丙嗪,硫酸镁,重度妊娠高血压综合征治疗首选的药物是硫酸镁吗？回答'是'或者'不是'即可。,重度妊娠高血压综合征治疗首选的药物是什么？回答一句话即可。,请选择一个正确选项。重度妊娠高血压综合征治疗首选的药物是：A 哌替啶 ，B  甘露醇 ，C  氯丙嗪，D 硫酸镁。只能选择一个选项，禁止解释。,请选择一个正确选项。重度妊娠高血压综合征治疗首选的药物是：A 哌替啶 ，B  甘露醇 ，C 硫酸镁。只能选择一个选项，禁止解释。,请选择一个正确选项。重度妊娠高血压综合征治疗首选的药物是：A 哌替啶 ，B 硫酸镁。只能选择一个选项，禁止解释。
可导致输血反应的天然抗体类型是,IgM,"['IgG', 'IgD', 'IgA']",IgG, IgD, IgA,IgM,可导致输血反应的天然抗体类型是IgM吗？回答'是'或者'不是'即可。,可导致输血反应的天然抗体类型是什么？回答一句话即可。,请选择一个正确选项。可导致输血反应的天然抗体类型是：A IgG ，B  IgD ，C  IgA，D IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。可导致输血反应的天然抗体类型是：A IgG ，B  IgD ，C IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。可导致输血反应的天然抗体类型是：A IgG ，B IgM。只能选择一个选项，禁止解释。
5岁儿童的头围约是,50cm,"['40cm', '46cm', '56cm']",40cm, 46cm, 56cm,50cm,5岁儿童的头围约是50cm吗？回答'是'或者'不是'即可。,5岁儿童的头围约是什么？回答一句话即可。,请选择一个正确选项。5岁儿童的头围约是：A 40cm ，B  46cm ，C  56cm，D 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。5岁儿童的头围约是：A 40cm ，B  46cm ，C 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。5岁儿童的头围约是：A 40cm ，B 50cm。只能选择一个选项，禁止解释。
怀孕期感染引起胎儿畸形的病原是,巨细胞病毒，风疹病毒,"['腮腺炎病毒，人类免疫缺病毒', '水痘病毒，冠状病毒', '脊髓灰质炎病毒，乙型肝炎病毒']",腮腺炎病毒，人类免疫缺病毒, 水痘病毒，冠状病毒, 脊髓灰质炎病毒，乙型肝炎病毒,巨细胞病毒，风疹病毒,怀孕期感染引起胎儿畸形的病原是巨细胞病毒，风疹病毒吗？回答'是'或者'不是'即可。,怀孕期感染引起胎儿畸形的病原是什么？回答一句话即可。,请选择一个正确选项。怀孕期感染引起胎儿畸形的病原是：A 腮腺炎病毒，人类免疫缺病毒 ，B  水痘病毒，冠状病毒 ，C  脊髓灰质炎病毒，乙型肝炎病毒，D 巨细胞病毒，风疹病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。怀孕期感染引起胎儿畸形的病原是：A 腮腺炎病毒，人类免疫缺病毒 ，B  水痘病毒，冠状病毒 ，C 巨细胞病毒，风疹病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。怀孕期感染引起胎儿畸形的病原是：A 腮腺炎病毒，人类免疫缺病毒 ，B 巨细胞病毒，风疹病毒。只能选择一个选项，禁止解释。
急性乳腺炎最主要的原因是,乳头皮肤破溃损伤,"['初产妇', '有乳腺囊性增生症病史', '全身抵抗力下降']",初产妇, 有乳腺囊性增生症病史, 全身抵抗力下降,乳头皮肤破溃损伤,急性乳腺炎最主要的原因是乳头皮肤破溃损伤吗？回答'是'或者'不是'即可。,急性乳腺炎最主要的原因是什么？回答一句话即可。,请选择一个正确选项。急性乳腺炎最主要的原因是：A 初产妇 ，B  有乳腺囊性增生症病史 ，C  全身抵抗力下降，D 乳头皮肤破溃损伤。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎最主要的原因是：A 初产妇 ，B  有乳腺囊性增生症病史 ，C 乳头皮肤破溃损伤。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎最主要的原因是：A 初产妇 ，B 乳头皮肤破溃损伤。只能选择一个选项，禁止解释。
